city,country_code,time,precipitation_sum,wind_speed_10m_max,temperature_2m_max
sao paulo,BR,2017-04-09,1.6,17.3,24.7
sao paulo,BR,2017-04-10,1.7,13.4,26.2
sao paulo,BR,2017-04-11,0.0,13.9,28.5
sao paulo,BR,2017-04-12,3.4,22.3,21.6
sao paulo,BR,2017-04-13,1.5,21.0,20.2
sao paulo,BR,2017-04-14,0.0,19.3,22.8
sao paulo,BR,2017-04-15,0.0,16.4,25.1
sao paulo,BR,2017-04-16,0.0,15.9,28.3
sao paulo,BR,2017-04-17,1.5,23.8,22.3
sao paulo,BR,2017-04-18,0.0,19.8,20.6
sao paulo,BR,2017-04-19,0.0,18.7,22.1
sao paulo,BR,2017-04-20,0.3,15.2,25.4
sao paulo,BR,2017-04-21,17.9,26.1,25.7
sao paulo,BR,2017-04-22,4.8,17.3,21.0
sao paulo,BR,2017-04-23,1.3,19.2,20.4
sao paulo,BR,2017-04-24,0.0,15.9,24.9
sao paulo,BR,2017-04-25,0.1,19.7,27.3
sao paulo,BR,2017-04-26,11.9,30.5,24.7
sao paulo,BR,2017-04-27,8.0,19.5,19.1
sao paulo,BR,2017-04-28,1.0,15.8,16.0
sao paulo,BR,2017-04-29,1.2,18.3,18.5
sao paulo,BR,2017-04-30,0.4,16.7,20.0
sao paulo,BR,2017-05-01,0.0,18.7,22.0
sao paulo,BR,2017-05-02,0.1,17.6,22.0
sao paulo,BR,2017-05-03,0.0,14.8,23.4
sao paulo,BR,2017-05-04,0.4,12.0,25.3
sao paulo,BR,2017-05-05,16.5,12.7,22.0
sao paulo,BR,2017-05-06,1.3,15.3,20.3
sao paulo,BR,2017-05-07,0.5,15.7,21.0
sao paulo,BR,2017-05-08,0.1,13.3,23.7
sao paulo,BR,2017-05-09,0.0,15.2,23.9
sao paulo,BR,2017-05-10,0.1,16.0,21.7
sao paulo,BR,2017-05-11,2.4,15.5,19.5
sao paulo,BR,2017-05-12,0.0,16.5,21.4
sao paulo,BR,2017-05-13,0.0,18.6,26.1
sao paulo,BR,2017-05-14,0.8,33.7,24.1
sao paulo,BR,2017-05-15,0.0,17.6,21.4
sao paulo,BR,2017-05-16,0.0,16.4,20.4
sao paulo,BR,2017-05-17,0.1,18.1,19.7
sao paulo,BR,2017-05-18,14.1,20.0,19.9
sao paulo,BR,2017-05-19,18.5,20.5,19.6
sao paulo,BR,2017-05-20,0.6,21.2,21.7
sao paulo,BR,2017-05-21,22.9,16.1,20.5
sao paulo,BR,2017-05-22,7.1,20.9,20.3
sao paulo,BR,2017-05-23,0.0,13.9,21.0
sao paulo,BR,2017-05-24,1.9,12.6,21.4
sao paulo,BR,2017-05-25,0.0,11.9,25.3
sao paulo,BR,2017-05-26,0.0,8.7,26.2
sao paulo,BR,2017-05-27,0.0,14.2,23.6
sao paulo,BR,2017-05-28,0.1,12.3,22.4
sao paulo,BR,2017-05-29,0.0,14.6,24.2
sao paulo,BR,2017-05-30,0.9,17.2,21.1
sao paulo,BR,2017-05-31,0.0,14.9,23.7
sao paulo,BR,2017-06-01,0.9,26.0,20.1
sao paulo,BR,2017-06-02,0.0,21.0,18.9
sao paulo,BR,2017-06-03,0.0,15.8,22.4
sao paulo,BR,2017-06-04,0.0,15.6,26.4
sao paulo,BR,2017-06-05,10.8,19.0,20.5
sao paulo,BR,2017-06-06,7.9,14.0,22.9
sao paulo,BR,2017-06-07,0.0,14.0,25.8
sao paulo,BR,2017-06-08,0.0,29.7,25.8
sao paulo,BR,2017-06-09,0.4,27.2,22.3
sao paulo,BR,2017-06-10,0.0,12.4,17.6
sao paulo,BR,2017-06-11,0.0,11.8,20.6
sao paulo,BR,2017-06-12,0.1,13.2,21.7
sao paulo,BR,2017-06-13,9.2,15.0,19.5
sao paulo,BR,2017-06-14,0.8,14.2,19.2
sao paulo,BR,2017-06-15,0.0,16.5,20.6
sao paulo,BR,2017-06-16,0.0,14.2,21.8
sao paulo,BR,2017-06-17,0.0,16.9,23.5
sao paulo,BR,2017-06-18,0.0,18.6,22.9
sao paulo,BR,2017-06-19,0.6,21.3,23.0
sao paulo,BR,2017-06-20,1.0,17.7,16.3
sao paulo,BR,2017-06-21,0.6,18.9,18.7
sao paulo,BR,2017-06-22,0.0,21.2,21.2
sao paulo,BR,2017-06-23,0.0,19.3,20.8
sao paulo,BR,2017-06-24,0.0,13.8,20.8
sao paulo,BR,2017-06-25,0.0,18.1,19.9
sao paulo,BR,2017-06-26,0.0,14.5,20.5
sao paulo,BR,2017-06-27,0.0,12.4,21.9
sao paulo,BR,2017-06-28,0.0,10.5,22.6
sao paulo,BR,2017-06-29,0.0,7.4,23.3
sao paulo,BR,2017-06-30,0.0,14.3,22.5
sao paulo,BR,2017-07-01,0.8,18.4,18.3
sao paulo,BR,2017-07-02,0.3,20.3,14.7
sao paulo,BR,2017-07-03,0.5,20.0,15.4
sao paulo,BR,2017-07-04,0.0,19.4,16.9
sao paulo,BR,2017-07-05,0.0,15.1,17.4
sao paulo,BR,2017-07-06,0.0,18.2,19.1
sao paulo,BR,2017-07-07,0.0,14.5,19.2
sao paulo,BR,2017-07-08,0.0,15.9,20.2
sao paulo,BR,2017-07-09,0.0,12.8,21.8
sao paulo,BR,2017-07-10,0.1,11.2,21.4
sao paulo,BR,2017-07-11,0.0,11.1,22.6
sao paulo,BR,2017-07-12,0.0,17.8,21.8
sao paulo,BR,2017-07-13,0.0,14.0,22.0
sao paulo,BR,2017-07-14,0.0,11.1,22.8
sao paulo,BR,2017-07-15,0.0,21.1,23.5
sao paulo,BR,2017-07-16,0.0,21.6,23.4
sao paulo,BR,2017-07-17,0.2,17.1,24.7
sao paulo,BR,2017-07-18,3.0,23.1,16.2
sao paulo,BR,2017-07-19,0.1,16.6,12.6
sao paulo,BR,2017-07-20,0.2,15.0,21.9
sao paulo,BR,2017-07-21,0.0,19.5,24.0
sao paulo,BR,2017-07-22,0.0,18.4,21.3
sao paulo,BR,2017-07-23,0.0,19.7,23.9
sao paulo,BR,2017-07-24,0.0,12.3,23.8
sao paulo,BR,2017-07-25,0.0,14.5,24.1
sao paulo,BR,2017-07-26,0.0,16.6,23.2
sao paulo,BR,2017-07-27,0.0,19.2,22.7
sao paulo,BR,2017-07-28,0.0,15.5,21.2
sao paulo,BR,2017-07-29,0.0,17.2,22.5
sao paulo,BR,2017-07-30,0.0,16.3,22.1
sao paulo,BR,2017-07-31,0.0,12.0,21.4
sao paulo,BR,2017-08-01,0.0,17.9,20.8
sao paulo,BR,2017-08-02,0.0,22.3,25.0
sao paulo,BR,2017-08-03,0.6,32.3,21.1
sao paulo,BR,2017-08-04,0.6,21.5,15.9
sao paulo,BR,2017-08-05,1.8,21.6,15.7
sao paulo,BR,2017-08-06,0.0,18.9,19.2
sao paulo,BR,2017-08-07,0.0,15.0,25.6
sao paulo,BR,2017-08-08,0.0,19.4,26.6
sao paulo,BR,2017-08-09,0.0,24.4,28.7
sao paulo,BR,2017-08-10,0.0,16.5,20.7
sao paulo,BR,2017-08-11,0.0,19.7,21.5
sao paulo,BR,2017-08-12,0.0,22.3,25.5
sao paulo,BR,2017-08-13,0.0,18.9,30.2
sao paulo,BR,2017-08-14,0.1,21.5,24.7
sao paulo,BR,2017-08-15,3.4,18.1,16.0
sao paulo,BR,2017-08-16,4.2,14.5,17.7
sao paulo,BR,2017-08-17,6.9,16.1,15.6
sao paulo,BR,2017-08-18,4.0,11.4,18.7
sao paulo,BR,2017-08-19,4.2,15.6,18.1
sao paulo,BR,2017-08-20,8.6,19.8,20.4
sao paulo,BR,2017-08-21,3.0,28.1,14.0
sao paulo,BR,2017-08-22,0.0,24.1,16.3
sao paulo,BR,2017-08-23,0.0,20.2,22.1
sao paulo,BR,2017-08-24,0.0,17.4,20.8
sao paulo,BR,2017-08-25,0.0,16.9,22.9
sao paulo,BR,2017-08-26,0.0,12.5,24.4
sao paulo,BR,2017-08-27,0.0,15.1,25.0
sao paulo,BR,2017-08-28,0.0,16.0,23.2
sao paulo,BR,2017-08-29,0.0,9.8,25.5
